id;beer_style;bitterness_IBU;diacetyl_concentration;lactic_acid;final_gravity;sodium;free_CO2;dissolved_oxygen;original_gravity;pH;gypsum_level;alcohol_ABV;fermentation_strength;quality
1153;Golden;7.996;0.143;0.481;1.484;0.028;42.001;119.989;0.989;3.286;0.381;5.043;9.79;7
1154;Pale;6.499;0.438;0.312;3.605;0.052;19.002;142.986;1.002;3.158;0.353;5.713;10.597;8
1155;Dark;11.111;0.386;0.536;2.698;0.097;20.993;101.009;1.014;3.137;0.499;4.532;9.006;5
1156;Amber;7.695;0.221;0.437;13.897;0.035;43.996;129.997;1.005;3.111;0.474;4.766;9.362;6
1157;Pale;6.9;0.277;0.286;4.2;0.027;20.008;80.017;0.985;3.132;0.381;5.479;10.127;6
1158;Golden;6.814;0.263;0.123;1.304;0.038;86.991;167.994;0.997;3.182;0.418;4.773;9.177;5
1159;Pale;7.395;0.198;0.305;12.798;0.045;48.518;229.007;1.006;3.137;0.499;4.342;8.791;7
1160;Pale;6.9;0.137;0.372;1.015;0.025;21.992;80.981;1.0;3.042;0.533;5.435;10.443;6
1161;Pale;6.287;0.289;0.171;7.711;0.035;44.99;185.994;1.005;3.232;0.481;4.282;8.574;5
1162;Golden;6.694;0.318;0.824;1.2;0.152;48.999;120.01;0.984;2.993;0.358;4.392;9.02;5
1163;Dark;7.603;0.947;0.04;1.996;0.081;7.001;19.995;1.004;3.206;0.564;4.57;8.176;5
1164;Amber;6.898;0.52;0.242;2.599;0.082;10.002;36.997;1.009;3.471;0.517;5.238;10.155;5
1165;Amber;6.91;0.279;0.27;2.101;0.043;41.962;120.993;0.986;3.416;0.493;5.142;9.27;7
1166;Amber;7.998;0.233;0.344;9.184;0.051;53.007;185.991;0.991;3.094;0.563;4.531;8.762;7
1167;Pale;7.097;0.431;0.284;6.59;0.011;15.024;137.992;0.992;3.192;0.465;6.009;10.946;6
1168;Brown;7.981;0.531;0.027;1.695;0.067;10.0;34.993;0.99;3.353;0.571;4.762;9.852;5
1169;Pale;6.395;0.23;0.328;1.812;0.056;29.022;104.004;1.002;3.82;0.558;4.909;9.404;6
1170;Amber;6.805;0.188;0.707;17.507;0.03;20.993;113.978;1.002;2.862;0.5;4.53;8.806;6
1171;Amber;6.91;0.297;0.408;1.691;0.061;9.997;135.99;0.988;3.165;0.718;5.432;10.197;6
1172;Pale;6.106;0.279;0.275;9.804;0.035;61.005;125.005;1.002;3.126;0.419;4.852;9.392;6
1173;Pale;6.703;0.262;0.5;8.095;0.05;47.986;197.006;0.981;3.194;0.467;4.528;8.88;5
1174;Pale;6.293;0.348;0.308;4.787;0.057;14.006;85.002;0.971;3.273;0.388;5.059;9.306;5
1175;Brown;10.701;0.346;0.528;2.615;0.06;5.007;15.993;1.006;3.152;0.658;5.244;10.006;8
1176;Pale;7.107;0.179;0.422;1.405;0.052;46.99;157.025;0.989;2.953;0.31;4.991;9.713;6
1177;Golden;6.304;0.305;0.331;1.512;0.024;24.019;101.0;0.982;3.214;0.429;6.202;11.068;5
1178;Amber;6.394;0.175;0.414;2.889;0.041;31.972;83.018;0.997;3.309;0.416;5.583;10.659;6
1179;Brown;7.805;0.637;0.021;1.909;0.08;26.993;54.999;0.979;3.303;0.628;5.239;9.402;5
1180;Golden;7.711;0.296;0.23;2.005;0.061;27.99;138.012;0.995;3.094;0.623;4.672;9.501;5
1181;Golden;6.595;0.266;0.417;11.293;0.049;77.018;231.023;0.987;3.222;0.531;4.533;9.245;6
1182;Pale;5.991;0.187;0.276;14.703;0.051;53.001;124.989;1.006;2.993;0.685;4.485;9.5;6
1183;Golden;6.599;0.189;0.278;1.095;0.036;38.005;100.0;0.992;3.233;0.696;5.338;9.84;6
1184;Pale;6.709;0.112;0.272;14.805;0.056;44.012;95.024;0.997;3.196;0.348;4.668;8.783;6
1185;Amber;5.682;0.4;0.255;4.892;0.034;49.001;113.006;0.982;3.248;0.573;6.237;11.44;7
1186;Brown;7.01;0.683;-0.006;1.885;0.096;9.002;22.008;0.987;3.346;0.592;4.627;8.795;5
1187;Brown;7.507;0.782;0.187;8.103;0.102;30.0;91.98;1.002;3.194;0.575;4.392;8.415;5
1188;Golden;5.011;0.229;0.193;2.208;0.025;30.998;100.008;0.996;3.687;0.628;5.583;10.861;6
1189;Pale;6.896;0.273;0.413;1.686;0.051;6.027;133.997;0.987;3.165;0.678;5.431;9.933;6
1190;Pale;7.012;0.143;0.311;8.984;0.028;53.997;140.988;0.991;3.206;0.435;4.481;8.806;6
1191;Amber;5.807;0.293;0.059;0.818;0.018;10.998;29.997;0.991;3.369;0.347;4.38;8.161;5
1192;Pale;5.815;0.309;0.29;4.295;0.053;46.018;114.997;1.002;3.143;0.582;6.194;11.462;8
1193;Pale;6.598;0.31;0.351;8.016;0.055;57.005;167.98;0.99;3.174;0.459;4.579;8.783;5
1194;Pale;6.417;0.411;0.248;13.982;0.048;24.004;112.997;0.996;3.456;0.534;4.666;8.958;6
1195;Golden;8.384;0.182;0.427;5.096;0.028;6.997;77.001;0.995;3.156;0.519;5.57;10.375;5
1196;Pale;7.201;0.189;0.286;1.609;0.028;13.014;167.986;1.001;3.18;1.063;5.486;10.146;6
1197;Pale;5.408;0.481;0.129;5.009;0.023;12.004;107.001;0.979;3.487;0.881;6.434;11.959;7
1198;Amber;7.003;0.571;0.276;4.806;0.084;11.999;68.997;1.007;3.333;0.69;5.242;9.966;6
1199;Brown;7.182;0.635;-0.009;1.896;0.099;13.996;37.988;0.999;3.362;0.58;4.291;8.189;6
1200;Pale;6.693;0.117;0.365;2.296;0.029;42.987;124.983;0.986;3.064;0.676;4.815;8.904;7
1201;Brown;7.69;0.746;0.276;3.799;0.115;33.989;89.0;0.999;3.24;0.444;4.441;8.345;5
1202;Pale;6.396;0.17;0.356;1.799;0.044;42.999;150.002;1.001;3.444;0.693;5.245;10.241;8
1203;Amber;6.09;0.269;0.311;1.083;0.027;24.002;110.017;1.0;3.336;0.404;5.96;11.306;6
1204;Golden;7.115;0.22;0.336;16.896;0.066;49.006;158.009;1.003;3.392;0.37;4.577;9.027;6
1205;Pale;6.397;0.302;0.324;5.191;0.065;30.0;137.002;0.993;3.259;0.587;5.29;9.723;5
1206;Pale;6.602;0.323;0.187;1.009;0.051;25.998;112.012;1.007;3.327;0.527;4.336;8.47;5
1207;Dark;8.01;0.513;0.25;2.009;0.077;19.013;59.005;0.998;3.315;0.488;4.861;8.934;5
1208;Amber;6.598;0.236;0.208;18.15;0.051;23.012;138.993;0.99;3.069;0.493;4.381;8.403;5
1209;Golden;6.615;0.212;0.225;17.292;0.026;37.009;118.005;0.987;3.079;0.451;4.192;8.325;6
1210;Golden;7.122;0.189;0.27;1.305;0.059;20.011;71.007;0.992;3.053;0.737;4.728;9.502;6
1211;Pale;6.498;0.229;0.489;7.609;0.044;54.003;183.989;0.995;3.161;0.431;4.39;8.28;5
1212;Dark;10.31;0.521;0.484;2.493;0.06;5.993;25.018;0.992;3.103;0.595;4.42;8.444;6
1213;Pale;6.712;0.257;0.295;3.843;0.029;105.006;179.014;1.002;3.039;0.587;5.379;10.311;8
1214;Pale;6.71;0.211;0.366;1.588;0.041;23.986;101.991;1.0;3.29;0.573;5.532;10.306;7
1215;Brown;7.597;0.534;0.038;1.711;0.1;16.995;30.996;1.007;3.371;0.524;4.95;9.663;6
1216;Pale;5.989;0.283;0.248;1.395;0.037;29.999;114.009;0.968;3.08;0.443;6.297;11.519;6
1217;Amber;6.505;0.871;0.008;2.294;0.171;6.007;11.995;0.975;3.545;0.506;5.143;10.309;5
1218;Pale;7.894;0.196;0.34;1.212;0.058;28.991;117.995;0.999;3.141;0.417;5.049;9.185;6
1219;Pale;6.907;0.177;0.377;13.509;0.031;49.002;117.994;1.015;2.991;0.626;5.091;9.868;6
1220;Golden;6.701;0.302;0.429;18.515;0.066;65.006;223.994;1.017;3.095;0.539;4.332;8.473;5
1221;Amber;7.689;0.33;0.626;10.602;0.041;55.998;153.012;0.985;3.121;0.409;4.24;8.233;6
1222;Pale;6.79;0.275;0.599;1.095;0.141;41.996;126.999;0.999;3.085;0.445;4.329;8.585;6
1223;Amber;7.79;0.419;0.269;2.697;0.095;18.003;94.989;1.015;3.235;0.67;4.475;8.71;5
1224;Golden;6.908;0.24;0.346;1.0;0.04;35.006;145.997;0.991;3.45;0.429;4.761;9.112;6
1225;Brown;7.998;0.632;0.22;2.393;0.086;4.985;33.001;1.005;3.36;0.576;5.25;10.218;5
1226;Pale;7.798;0.165;0.419;1.701;0.02;29.006;140.001;0.991;3.018;0.804;5.955;10.785;6
1227;Dark;8.802;0.291;0.392;2.295;0.056;19.004;71.998;0.998;3.388;0.733;5.625;10.188;6
1228;Brown;7.394;0.525;0.248;1.976;0.09;16.023;72.004;1.0;3.133;0.567;4.481;8.995;5
1229;Golden;4.715;0.163;0.279;0.996;0.053;35.012;90.01;0.986;3.741;0.497;5.389;10.092;6
1230;Golden;5.792;0.222;0.207;1.496;0.055;20.998;110.01;0.999;3.294;0.566;5.24;10.439;6
1231;Pale;6.612;0.293;0.498;7.692;0.047;52.993;217.028;0.992;3.158;0.399;4.433;8.256;5
1232;Pale;6.503;0.21;0.351;11.992;0.038;55.012;177.016;0.989;3.503;0.447;4.726;8.989;6
1233;Golden;7.285;0.231;0.339;15.426;0.052;37.981;173.998;0.996;3.036;0.421;4.282;8.08;6
1234;Pale;7.095;0.362;0.153;1.192;0.063;24.002;83.998;0.986;3.155;0.424;4.235;7.82;5
1235;Pale;6.398;0.155;0.313;1.11;0.061;24.994;96.008;0.992;3.522;0.523;4.909;9.078;6
1236;Pale;7.698;0.455;0.235;11.204;0.027;41.002;166.999;0.99;3.127;0.439;5.384;10.069;7
1237;Dark;6.61;0.89;0.031;2.182;0.071;11.994;20.013;0.989;3.544;0.548;4.721;9.548;5
1238;Pale;6.979;0.207;0.347;2.104;0.041;12.02;136.005;0.988;3.243;0.468;5.537;10.767;7
1239;Golden;8.687;0.225;0.413;2.316;0.047;27.008;113.992;0.997;2.986;0.422;4.758;8.933;5
1240;Pale;6.678;0.162;0.365;1.701;0.046;19.983;83.99;0.989;3.093;0.521;5.435;10.518;6
1241;Golden;6.689;0.264;0.503;8.308;0.046;53.997;190.996;0.982;3.246;0.405;4.911;8.953;6
1242;Pale;6.617;0.294;0.247;1.189;0.04;17.006;121.004;0.99;3.133;0.375;4.394;8.401;5
1243;Golden;7.876;0.181;0.39;2.009;0.061;20.988;138.006;0.981;3.055;0.517;5.198;9.876;5
1244;Pale;6.304;0.35;0.181;5.798;0.046;22.001;145.008;0.992;3.149;0.625;4.723;8.983;5
1245;Amber;7.479;0.219;0.283;4.792;0.037;32.995;87.006;1.019;3.122;0.426;4.715;8.689;5
1246;Brown;7.907;0.733;-0.012;1.903;0.079;6.99;32.013;1.005;3.388;0.543;4.568;8.31;5
1247;Pale;7.783;0.294;0.405;1.798;0.025;22.998;122.001;0.993;3.139;0.399;5.194;9.588;7
1248;Golden;7.203;0.153;0.317;0.807;0.03;49.987;121.005;0.972;3.28;0.334;4.765;9.109;6
1249;Golden;7.995;0.197;0.3;8.102;0.04;42.006;130.013;0.99;3.1;0.657;5.632;10.146;6
1250;Pale;7.004;0.181;0.226;5.713;0.12;26.984;103.991;1.002;3.042;0.537;4.484;8.853;6
1251;Golden;7.693;0.282;0.622;11.101;0.026;57.99;178.996;0.999;3.058;0.438;4.194;7.91;4
1252;Amber;7.302;0.356;0.346;14.807;0.047;45.992;173.003;0.985;3.152;0.589;4.855;9.372;5
1253;Pale;7.793;0.499;0.493;7.021;0.047;29.0;149.004;1.0;3.2;0.316;4.765;9.21;5
1254;Pale;7.712;0.304;0.334;1.583;0.038;23.017;124.019;1.001;2.927;0.334;5.237;10.089;6
1255;Dark;11.298;0.608;0.67;5.186;0.09;6.028;18.986;1.011;3.236;0.689;6.379;12.116;8
1256;Pale;5.094;0.136;0.258;0.704;0.047;14.996;88.997;0.977;3.226;0.424;4.382;8.616;6
1257;Golden;6.082;0.314;0.465;1.406;0.058;50.004;187.001;0.997;3.187;0.455;4.524;8.827;5
1258;Pale;8.606;0.3;0.291;0.911;0.047;16.004;108.993;0.987;2.944;0.396;4.817;9.385;5
1259;Golden;6.303;0.399;0.221;5.095;0.038;42.991;130.989;1.019;3.223;0.436;5.389;10.424;6
1260;Pale;4.79;0.655;0.121;1.116;0.004;4.009;10.006;0.988;3.318;0.353;6.437;11.525;4
1261;Amber;6.101;0.298;0.566;2.699;0.055;46.006;184.001;0.994;3.309;0.576;5.199;9.759;6
1262;Pale;7.107;0.354;0.868;1.406;0.174;36.0;99.001;1.013;2.915;0.499;4.43;8.766;5
1263;Pale;6.696;0.182;0.244;6.502;0.042;28.002;99.991;0.989;3.13;0.339;4.854;9.16;6
1264;Golden;6.395;0.181;0.312;2.398;0.057;41.003;200.002;1.007;3.503;0.49;4.628;8.629;6
1265;Pale;7.214;0.072;0.502;1.286;0.069;18.004;147.986;0.993;3.451;0.432;4.864;9.385;6
1266;Pale;6.597;0.167;0.355;2.599;0.035;32.992;78.015;0.992;3.214;0.726;5.379;10.137;6
1267;Dark;7.49;0.77;0.186;8.081;0.091;29.984;92.0;1.005;3.212;0.599;4.381;8.932;5
1268;Pale;5.91;0.261;0.253;4.997;0.026;14.002;96.998;0.988;3.101;0.326;5.625;10.504;7
1269;Pale;6.909;0.217;0.321;5.799;0.058;19.996;119.007;0.985;3.171;0.555;5.334;9.954;6
1270;Pale;6.686;0.17;0.359;2.008;0.059;24.005;130.988;0.986;3.307;0.586;5.002;9.068;6
1271;Pale;5.504;0.228;0.452;1.71;0.036;21.993;113.028;0.987;3.216;0.483;4.758;9.646;5
1272;Dark;9.102;0.295;0.405;2.002;0.074;9.987;24.005;1.008;3.283;0.853;5.573;10.255;7
1273;Golden;7.38;0.249;0.317;7.92;0.06;37.993;156.997;0.994;3.136;0.484;4.243;7.799;6
1274;Brown;6.605;0.964;0.013;1.787;0.067;4.995;16.007;0.987;3.512;0.43;5.67;10.596;6
1275;Pale;6.887;0.299;0.206;15.708;0.048;48.992;159.01;0.985;3.103;0.477;4.294;8.34;5
1276;Amber;10.006;0.553;0.24;2.207;0.091;18.985;58.009;1.005;3.184;0.554;4.813;9.562;6
1277;Pale;7.199;0.173;0.259;11.202;0.06;45.988;148.995;0.998;2.992;0.584;4.435;8.276;6
1278;Pale;6.026;0.212;0.25;6.798;0.047;22.005;92.994;0.981;3.148;0.428;5.236;10.163;6
1279;Pale;6.402;0.477;0.057;0.995;0.023;8.997;130.989;0.995;2.962;0.296;5.148;9.6;5
1280;Pale;5.992;0.175;0.194;6.016;0.046;25.993;133.996;0.991;3.088;0.56;4.665;8.605;6
1281;Golden;5.795;0.318;0.207;2.619;0.03;17.003;122.994;1.001;3.366;0.785;6.625;11.767;7
1282;Amber;8.004;0.252;0.27;9.694;0.044;15.006;84.995;0.978;2.985;0.365;5.339;9.602;6
1283;Golden;8.098;0.288;0.489;7.098;0.038;22.005;124.004;0.987;3.136;0.432;5.151;9.853;6
1284;Dark;7.608;0.525;0.221;2.381;0.08;7.989;37.986;0.998;3.491;0.65;4.574;8.906;6
1285;Dark;6.288;0.387;0.18;3.213;0.067;14.979;39.003;0.989;3.556;0.52;6.044;11.635;6
1286;Dark;7.197;0.386;0.327;1.798;0.068;33.993;59.982;1.0;3.474;0.769;4.713;9.196;5
1287;Golden;8.511;0.234;0.476;15.208;0.057;40.008;233.996;0.983;3.021;0.657;4.291;8.801;5
1288;Pale;6.293;0.261;0.384;0.898;0.067;6.996;140.006;0.998;3.473;0.506;5.009;9.305;7
1289;Brown;7.205;0.658;0.041;1.805;0.063;6.992;12.003;0.997;3.34;0.382;4.517;8.965;5
1290;Pale;7.489;0.198;0.492;1.583;0.047;42.004;140.006;0.998;3.391;0.488;5.103;9.643;6
1291;Golden;6.804;0.316;0.375;9.603;0.013;33.998;124.013;0.986;3.178;0.354;5.763;10.471;6
1292;Pale;7.88;0.34;0.267;31.612;0.045;34.997;175.986;0.998;3.152;0.388;4.196;7.9;6
1293;Pale;6.707;0.22;0.407;9.109;0.045;31.001;149.996;0.998;3.114;0.737;4.717;8.865;7
1294;Pale;6.81;0.244;0.271;10.702;0.071;46.998;153.999;0.996;3.059;0.379;4.291;8.589;5
1295;Dark;10.104;0.404;0.496;2.396;0.095;5.991;12.982;0.994;3.219;0.641;5.518;10.21;7
1296;Brown;9.998;0.485;0.228;2.701;0.109;12.991;31.999;0.995;3.268;0.536;4.765;9.024;6
1297;Golden;8.093;0.288;0.395;6.901;0.053;29.998;96.996;1.003;3.25;0.435;4.81;8.977;6
1298;Golden;6.801;0.234;0.418;7.409;0.043;55.989;188.994;0.994;3.201;0.484;4.44;8.496;6
1299;Pale;6.297;0.187;0.207;1.498;0.046;45.005;155.002;0.982;3.178;0.471;4.863;9.472;5
1300;Golden;7.39;0.243;0.364;13.22;0.058;52.999;178.008;0.996;3.001;0.486;4.291;8.688;6
1301;Amber;12.711;0.609;0.633;2.293;0.06;6.013;24.999;1.02;3.024;0.563;4.717;8.665;5
1302;Pale;6.999;0.224;0.266;8.702;0.037;37.011;222.004;0.997;3.269;0.536;4.956;9.652;6
1303;Pale;6.607;0.172;0.284;1.703;0.039;53.01;160.995;0.993;3.121;0.45;4.857;9.196;6
1304;Pale;7.411;0.271;0.283;1.802;0.013;44.999;120.988;0.994;3.028;0.404;5.674;10.504;5
1305;Golden;6.309;0.225;0.492;7.1;0.05;66.996;209.997;0.983;3.234;0.352;4.53;9.283;5
1306;Brown;6.901;0.747;0.034;2.286;0.072;7.009;16.006;0.998;3.457;0.629;5.477;10.281;6
1307;Golden;5.708;0.173;0.254;6.307;0.038;28.012;113.016;0.991;3.05;0.591;4.721;9.151;6
1308;Dark;7.703;0.693;0.045;2.713;0.086;15.008;26.994;0.988;3.26;0.613;4.334;8.543;5
1309;Amber;7.2;0.382;0.611;11.012;0.056;65.991;178.006;0.986;3.163;0.509;4.145;8.596;5
1310;Pale;6.004;0.304;0.428;1.501;0.038;15.0;182.01;0.993;3.513;0.511;4.955;9.182;5
1311;Dark;6.801;0.369;0.312;1.814;0.072;3.989;7.999;1.0;3.351;0.541;6.099;10.757;7
1312;Pale;6.996;0.238;0.336;1.389;0.054;27.005;107.004;0.963;3.055;0.394;5.675;10.477;6
1313;Amber;8.0;0.605;0.234;2.111;0.058;24.998;105.01;1.004;3.301;0.48;4.721;9.209;5
1314;Pale;7.318;0.252;0.351;13.099;0.056;34.997;200.003;0.988;3.023;0.461;4.242;8.106;7
1315;Golden;6.003;0.177;0.314;5.987;0.035;29.995;111.013;0.995;3.312;0.572;4.839;9.028;7
1316;Pale;6.502;0.148;0.436;12.592;0.047;65.01;157.997;1.0;3.259;0.69;4.912;9.087;7
1317;Amber;6.691;0.265;0.52;8.005;0.061;50.017;194.003;0.994;3.139;0.503;4.576;8.724;5
1318;Dark;6.276;0.551;0.162;1.814;0.074;26.004;34.99;1.004;3.334;0.824;5.539;10.549;6
1319;Dark;6.399;0.779;-0.004;2.198;0.044;28.005;51.989;0.999;3.501;0.521;5.525;10.277;5
1320;Pale;6.194;0.149;0.466;1.396;0.002;22.985;81.005;0.986;3.254;0.416;5.813;10.954;6
1321;Dark;12.3;0.396;0.626;2.296;0.098;5.977;17.989;1.005;3.147;0.474;4.527;8.933;5
1322;Dark;7.287;0.309;0.395;1.192;0.047;6.999;11.004;1.0;3.279;0.51;5.478;10.624;6
1323;Amber;7.222;0.587;0.052;2.287;0.09;15.993;35.982;1.006;3.388;0.609;4.907;9.18;6
1324;Pale;5.311;0.27;0.235;7.417;0.038;27.987;114.016;0.99;3.388;0.518;5.24;9.776;6
1325;Golden;7.795;0.278;0.491;1.291;0.043;26.994;141.997;1.0;3.094;0.602;4.865;9.596;5
1326;Brown;13.698;0.43;0.67;2.887;0.101;17.006;43.004;1.005;3.058;0.773;4.769;9.185;6
1327;Amber;8.211;0.217;0.473;3.499;0.055;14.006;108.014;1.003;3.193;0.331;5.485;10.604;6
1328;Golden;7.195;0.212;0.306;8.489;0.045;47.009;185.989;0.988;3.181;0.406;4.718;8.98;6
1329;Pale;7.211;0.22;0.329;12.7;0.04;49.99;182.99;0.997;3.409;0.409;4.667;8.446;5
1330;Pale;6.985;0.341;0.154;1.09;0.041;6.994;119.011;1.004;3.145;0.374;4.635;8.511;6
1331;Dark;5.607;0.616;0.035;1.478;0.086;6.002;13.017;1.002;3.684;0.644;4.818;9.837;4
1332;Golden;7.088;0.432;0.261;2.801;0.049;43.001;132.005;0.991;3.198;0.473;6.387;11.437;6
1333;Golden;6.495;0.299;0.304;1.685;0.036;24.019;78.998;0.997;3.247;0.696;5.442;10.672;7
1334;Amber;5.882;0.618;0.069;2.099;0.077;16.002;24.0;0.997;3.549;0.756;5.29;10.289;6
1335;Amber;8.492;0.224;0.432;4.306;0.043;24.005;99.009;1.003;3.194;0.543;4.629;8.541;6
1336;Amber;6.89;0.2;0.316;7.909;0.052;30.014;130.011;1.007;3.396;0.406;5.002;9.534;6
1337;Pale;6.798;0.256;0.424;11.737;0.036;53.008;197.989;0.985;3.254;0.555;4.521;9.187;5
1338;Amber;8.323;0.275;0.433;1.992;0.081;11.01;27.008;0.986;3.197;0.822;4.481;8.837;6
1339;Golden;6.605;0.236;0.349;7.698;0.033;36.009;135.006;1.014;3.197;0.372;5.0;9.858;5
1340;Golden;6.617;0.649;0.288;4.404;0.017;18.996;77.999;0.991;3.102;0.644;6.15;11.206;6
1341;Golden;9.708;0.245;0.478;4.902;0.034;2.987;17.995;1.011;2.847;0.524;4.766;9.515;6
1342;Golden;5.684;0.209;0.256;1.101;0.049;96.994;175.009;1.001;3.432;0.615;5.29;9.658;6
1343;Dark;7.903;1.041;0.053;2.202;0.101;13.014;29.018;0.988;3.234;0.534;4.72;8.758;6
1344;Golden;6.809;0.218;0.351;7.0;0.039;26.981;107.001;0.995;2.984;0.81;5.475;10.381;6
1345;Pale;6.501;0.166;0.328;1.476;0.043;33.988;120.997;0.989;3.047;0.47;4.998;10.021;6
1346;Amber;7.906;0.264;0.493;7.69;0.043;47.994;195.005;1.007;3.049;0.561;5.247;9.816;6
1347;Brown;8.38;0.62;0.08;2.202;0.096;10.988;108.023;0.999;3.151;0.668;4.672;8.861;5
1348;Pale;6.61;0.173;0.391;1.499;0.022;28.017;112.015;0.982;3.262;0.541;5.432;9.928;7
1349;Pale;6.19;0.285;0.324;6.303;0.036;46.988;159.004;0.982;3.22;0.585;5.237;9.799;6
1350;Brown;10.909;0.309;0.526;1.805;0.135;16.993;44.002;0.99;3.292;0.78;5.494;10.425;6
1351;Golden;7.797;0.265;0.358;1.589;0.051;27.01;154.007;0.977;3.038;0.443;5.004;9.43;6
1352;Brown;7.988;0.371;0.067;1.814;0.081;11.984;49.001;0.984;3.371;0.515;4.718;9.563;6
1353;Dark;8.907;0.604;0.476;2.002;0.262;22.982;110.012;0.975;3.121;1.029;4.436;8.721;5
1354;Golden;7.31;0.235;0.486;9.914;0.054;48.015;161.025;0.986;3.016;0.274;5.332;10.289;6
1355;Amber;7.804;0.203;0.339;11.903;0.046;55.002;139.988;0.988;3.032;0.328;4.913;9.195;6
1356;Pale;6.183;0.26;0.509;7.902;0.071;49.006;206.005;1.014;3.169;0.509;4.485;8.803;5
1357;Pale;7.177;0.203;0.287;10.482;0.031;35.984;122.003;1.005;3.117;0.403;5.052;9.674;6
1358;Brown;8.922;0.559;0.394;2.285;0.097;4.993;22.013;0.994;3.388;0.575;4.912;8.616;5
1359;Golden;6.016;0.211;0.31;8.702;0.034;47.003;127.011;0.998;3.177;0.4;5.059;9.089;5
1360;Pale;7.583;0.291;0.388;1.205;0.045;20.999;115.004;0.989;3.157;0.674;4.768;9.065;6
1361;Pale;6.902;0.511;0.226;1.203;0.046;12.99;124.992;0.998;3.17;0.508;4.469;8.503;5
1362;Golden;6.804;0.296;0.351;6.999;0.067;34.997;207.997;1.009;3.563;0.553;4.863;9.162;5
1363;Pale;7.786;0.262;0.342;13.698;0.061;65.995;183.995;1.002;3.235;0.746;4.242;8.222;5
1364;Pale;5.695;0.404;0.19;1.911;0.044;29.995;111.997;0.996;3.285;0.557;5.339;10.239;6
1365;Dark;5.013;0.366;0.017;1.618;0.045;26.01;60.008;1.008;3.694;0.756;6.675;11.835;6
1366;Pale;6.003;0.448;0.642;9.701;0.069;11.003;159.025;1.005;3.045;0.485;4.483;8.992;5
1367;Pale;6.803;0.275;0.238;4.613;0.104;36.006;127.014;0.988;3.148;0.49;4.575;8.504;6
1368;Pale;6.899;0.202;0.425;1.111;0.051;36.008;104.011;0.995;2.981;0.395;4.383;8.653;5
1369;Brown;6.284;0.591;0.103;1.575;0.039;12.001;25.993;0.997;3.564;0.497;5.762;10.706;5
1370;Pale;5.889;0.17;0.287;5.097;0.027;50.011;139.0;0.982;3.17;0.449;5.379;10.523;6
1371;Golden;5.98;0.161;0.478;1.012;0.044;25.999;106.005;0.983;3.201;0.432;4.677;9.08;6
1372;Pale;8.395;0.191;0.388;11.785;0.08;50.985;169.986;1.014;3.344;0.839;4.237;8.718;6
1373;Amber;6.989;0.253;0.338;1.512;0.061;50.988;128.018;0.994;3.408;0.589;4.96;10.403;7
1374;Pale;6.507;0.171;0.396;14.211;0.05;46.989;129.001;0.999;3.272;0.713;4.911;9.331;7
1375;Golden;6.6;0.226;0.379;1.61;0.039;30.996;100.995;0.986;3.144;0.667;5.72;10.314;5
1376;Dark;9.003;0.488;0.321;2.801;0.092;21.016;121.984;0.995;3.32;0.608;4.486;8.868;5
1377;Golden;7.189;0.298;0.238;1.403;0.067;17.004;116.996;0.977;3.146;0.338;5.008;9.838;5
1378;Pale;6.99;0.257;0.173;1.296;0.032;8.995;61.993;1.008;3.389;0.47;4.808;8.995;4
1379;Brown;8.697;0.509;0.083;2.51;0.093;20.012;49.008;1.0;3.327;0.88;5.052;9.746;7
1380;Golden;6.61;0.256;0.396;1.465;0.051;39.994;89.001;0.995;3.362;0.39;5.432;10.489;7
1381;Golden;6.188;0.3;0.214;1.101;0.023;31.0;110.991;0.974;2.982;0.41;5.823;10.355;6
1382;Golden;7.695;0.353;0.471;8.641;0.02;42.002;186.008;1.022;3.143;0.387;5.91;11.114;8
1383;Pale;7.995;0.193;0.362;1.797;0.06;15.997;84.003;0.995;3.14;0.447;4.66;8.917;7
1384;Pale;6.003;0.281;0.507;6.789;0.045;61.011;222.012;0.988;3.195;0.464;4.428;9.331;5
1385;Golden;7.099;0.269;0.493;6.505;0.034;28.008;110.976;0.979;3.417;0.58;5.816;10.504;8
1386;Golden;6.812;0.341;0.322;8.702;0.037;30.98;105.001;0.987;3.01;0.343;5.856;10.671;7
1387;Golden;6.899;0.195;0.306;6.288;0.032;40.996;131.007;0.998;3.088;0.491;5.153;10.118;6
1388;Golden;7.279;0.187;0.262;1.406;0.041;40.989;107.01;0.998;3.523;0.663;5.014;9.54;7
1389;Pale;5.296;0.305;0.197;1.099;0.081;47.994;165.99;1.003;3.298;0.54;4.135;8.156;4
1390;Pale;8.121;0.109;0.507;1.202;0.064;42.998;159.996;0.982;3.146;0.474;4.63;8.878;6
1391;Dark;11.291;0.383;0.501;1.794;0.103;19.993;47.006;0.985;3.164;0.573;4.996;9.879;5
1392;Pale;7.204;0.191;0.619;16.207;0.045;13.994;102.997;0.995;3.07;0.375;4.38;9.038;6
1393;Golden;6.405;0.423;0.471;8.401;0.056;58.023;180.0;0.999;3.174;0.455;4.629;9.02;6
1394;Dark;8.526;0.478;0.135;2.315;0.084;9.001;67.003;1.004;3.193;0.534;4.482;9.028;5
1395;Pale;6.396;0.29;0.291;11.093;0.057;66.004;168.996;0.999;2.906;0.57;4.284;8.841;5
